time,avgFlowRate,eventLength,eventVolume,maxFlowRate,hour,day_of_week,is_weekend,part_of_day,time_since_last_event,burst_indicator,label
2025-01-28 07:59:46,2.24,35.0,1.3,2.71,7,1,0,morning,251.0,,WC
2025-01-28 19:32:56,2.38,44.0,1.75,3.44,19,1,0,evening,2819.0,,WC
2025-01-28 20:59:01,1.62,50.0,1.35,1.98,20,1,0,evening,86.0,,WC
2025-01-29 08:24:11,2.38,32.0,1.27,2.71,8,2,0,morning,30131.0,,WC
2025-01-29 09:12:00,2.2,265.0,9.73,7.41,9,2,0,morning,2869.0,,shower
2025-01-29 15:58:25,3.24,29.0,1.57,4.07,15,2,0,afternoon,1549.0,,WC
2025-01-30 07:45:35,2.27,34.0,1.29,2.71,7,3,0,morning,8243.0,,WC
2025-01-30 08:16:37,2.54,175.0,7.42,7.3,8,3,0,morning,1053.0,,shower
2025-01-30 17:06:50,2.16,35.0,1.26,2.71,17,3,0,afternoon,431.0,,WC
2025-01-31 06:37:31,1.99,45.0,1.5,2.71,6,4,0,morning,25724.0,,WC
2025-01-31 08:55:31,1.8,275.0,8.25,3.55,8,4,0,morning,318.0,,shower
2025-01-31 21:31:22,2.29,34.0,1.3,2.71,21,4,0,evening,323.0,,WC
2025-02-01 08:26:37,2.34,33.0,1.29,2.71,8,5,1,morning,304.0,,WC
2025-02-01 08:37:50,2.36,32.0,1.26,2.71,8,5,1,morning,68.0,,WC
2025-02-01 11:38:16,3.72,176.0,10.92,6.68,11,5,1,morning,267.0,,shower
2025-02-01 14:49:04,1.82,199.0,6.04,5.95,14,5,1,afternoon,228.0,,shower
2025-02-02 07:35:22,2.28,40.0,1.52,2.82,7,6,1,morning,48.0,,WC
2025-02-02 08:36:36,2.31,40.0,1.54,2.71,8,6,1,morning,649.0,,WC
2025-02-03 07:32:38,2.22,35.0,1.3,2.71,7,0,0,morning,59.0,,WC
2025-02-03 08:23:14,2.23,49.0,1.82,2.71,8,0,0,morning,478.0,,WC
2025-02-03 16:10:42,2.26,34.0,1.28,2.71,16,0,0,afternoon,84.0,,WC
2025-02-04 08:12:32,2.26,45.0,1.7,2.71,8,1,0,morning,420.0,,WC
2025-02-04 08:47:08,2.21,176.0,6.47,6.16,8,1,0,morning,299.0,,shower
2025-02-05 07:00:15,2.37,200.0,7.91,7.93,7,2,0,morning,30199.0,,shower
2025-02-05 07:34:25,2.26,34.0,1.28,2.71,7,2,0,morning,526.0,,WC
2025-02-05 16:32:23,3.22,29.0,1.56,3.97,16,2,0,afternoon,39.0,,WC
2025-02-06 08:30:35,2.23,135.0,5.03,6.57,8,3,0,morning,226.0,,shower
2025-02-06 08:53:48,2.3,34.0,1.3,2.71,8,3,0,morning,138.0,,WC
2025-02-06 08:56:31,2.2,148.0,5.43,5.53,8,3,0,morning,163.0,,shower
2025-02-06 15:33:39,3.32,30.0,1.66,3.86,15,3,0,afternoon,10946.0,,WC
2025-02-07 07:52:11,2.3,37.0,1.42,2.71,7,4,0,morning,108.0,,WC
2025-02-07 08:16:16,2.25,42.0,1.57,2.71,8,4,0,morning,196.0,,WC
2025-02-07 08:24:11,2.22,35.0,1.3,2.71,8,4,0,morning,475.0,,WC
2025-02-07 16:42:31,2.18,35.0,1.27,2.71,16,4,0,afternoon,1933.0,,WC
2025-02-07 19:34:29,2.54,186.0,7.89,7.3,19,4,0,evening,2366.0,,shower
2025-02-08 13:41:00,2.31,33.0,1.27,2.71,13,5,1,afternoon,235.0,,WC
2025-02-08 17:32:58,2.01,45.0,1.5,2.71,17,5,1,afternoon,953.0,,WC
2025-02-08 19:04:07,2.03,169.0,5.72,2.61,19,5,1,evening,290.0,,shower
2025-02-09 10:01:33,1.88,136.0,4.26,7.1,10,6,1,morning,148.0,,shower
2025-02-09 12:37:14,3.53,30.0,1.77,5.01,12,6,1,afternoon,863.0,,WC
2025-02-09 14:22:12,3.51,29.0,1.7,4.07,14,6,1,afternoon,2949.0,,WC
2025-02-09 15:25:54,2.0,38.0,1.27,2.5,15,6,1,afternoon,98.0,,WC
2025-02-09 17:16:50,2.02,446.0,15.0,2.61,17,6,1,afternoon,948.0,,shower
2025-02-09 18:49:46,2.2,36.0,1.32,2.71,18,6,1,evening,1366.0,,WC
2025-02-09 21:56:09,2.25,48.0,1.8,2.71,21,6,1,evening,6845.0,,WC
2025-02-10 07:53:56,2.19,191.0,6.97,7.93,7,0,0,morning,261.0,,shower
2025-02-10 08:31:52,2.24,34.0,1.27,2.71,8,0,0,morning,1299.0,,WC
2025-02-10 13:03:56,2.05,250.0,8.54,2.71,13,0,0,afternoon,8746.0,,shower
2025-02-10 15:28:53,2.28,33.0,1.25,2.71,15,0,0,afternoon,233.0,,WC
2025-02-10 19:36:24,3.9,27.0,1.76,5.63,19,0,0,evening,374.0,,WC
2025-02-11 07:24:02,2.26,34.0,1.28,2.71,7,1,0,morning,133.0,,WC
2025-02-11 07:51:28,3.24,29.0,1.57,3.97,7,1,0,morning,330.0,,WC
2025-02-11 08:03:57,1.92,202.0,6.48,6.68,8,1,0,morning,228.0,,shower
2025-02-11 08:07:29,2.2,36.0,1.32,2.71,8,1,0,morning,212.0,,WC
2025-02-11 08:15:20,2.22,39.0,1.44,2.71,8,1,0,morning,98.0,,WC
2025-02-11 10:41:08,2.64,33.0,1.45,3.86,10,1,0,morning,755.0,,WC
2025-02-11 10:47:46,2.04,314.0,10.66,2.61,10,1,0,morning,398.0,,shower
2025-02-11 12:02:56,2.3,36.0,1.38,2.71,12,1,0,afternoon,3931.0,,WC
2025-02-11 14:01:41,2.19,36.0,1.31,2.71,14,1,0,afternoon,7125.0,,WC
2025-02-11 14:47:46,2.7,34.0,1.53,3.65,14,1,0,afternoon,2707.0,,WC
2025-02-11 22:10:28,2.18,38.0,1.38,2.61,22,1,0,evening,2682.0,,WC
2025-02-12 07:13:35,2.06,38.0,1.3,2.71,7,2,0,morning,2179.0,,WC
2025-02-12 08:25:41,2.23,34.0,1.26,2.71,8,2,0,morning,105.0,,WC
2025-02-12 15:31:37,2.65,43.0,1.9,3.86,15,2,0,afternoon,66.0,,WC
2025-02-13 07:16:06,2.29,33.0,1.26,2.61,7,3,0,morning,797.0,,WC
2025-02-13 19:55:53,2.21,35.0,1.29,2.61,19,3,0,evening,10272.0,,WC
2025-02-14 06:54:29,2.27,34.0,1.29,2.71,6,4,0,morning,182.0,,WC
2025-02-14 08:02:39,2.52,150.0,6.3,5.32,8,4,0,morning,1879.0,,shower
2025-02-14 17:39:38,2.58,35.0,1.5,3.13,17,4,0,afternoon,191.0,,WC
2025-02-14 20:35:19,2.13,50.0,1.77,2.92,20,4,0,evening,9034.0,,WC
2025-02-14 23:51:30,1.97,41.0,1.35,2.71,23,4,0,evening,2199.0,,WC
2025-02-15 09:16:42,1.86,222.0,6.89,6.68,9,5,1,morning,284.0,,shower
2025-02-15 09:18:39,1.82,43.0,1.3,6.68,9,5,1,morning,117.0,,WC
2025-02-15 09:30:05,2.2,48.0,1.76,2.71,9,5,1,morning,262.0,,WC
2025-02-15 09:57:44,1.9,287.0,9.1,6.05,9,5,1,morning,287.0,,shower
2025-02-16 08:39:58,2.19,35.0,1.28,2.71,8,6,1,morning,144.0,,WC
2025-02-16 14:55:11,2.26,34.0,1.28,2.61,14,6,1,afternoon,313.0,,WC
2025-02-16 19:14:11,3.65,30.0,1.83,4.7,19,6,1,evening,59.0,,WC
2025-02-17 08:14:11,2.19,35.0,1.28,2.71,8,0,0,morning,529.0,,WC
2025-02-17 16:00:12,2.27,34.0,1.29,2.61,16,0,0,afternoon,1613.0,,WC
2025-02-17 17:36:59,2.16,36.0,1.3,2.61,17,0,0,afternoon,5807.0,,WC
2025-02-17 19:14:41,4.72,234.0,18.41,6.05,19,0,0,evening,1931.0,,shower
2025-02-18 08:04:25,2.24,35.0,1.3,2.71,8,1,0,morning,378.0,,WC
2025-02-18 08:06:58,2.25,46.0,1.72,2.71,8,1,0,morning,153.0,,WC
2025-02-18 08:24:46,1.8,163.0,4.89,6.57,8,1,0,morning,185.0,,shower
2025-02-18 08:41:55,2.19,50.0,1.83,2.71,8,1,0,morning,424.0,,WC
2025-02-18 08:53:14,2.01,198.0,6.64,6.16,8,1,0,morning,679.0,,shower
2025-02-18 17:49:00,2.14,36.0,1.29,2.71,17,1,0,afternoon,527.0,,WC
2025-02-18 19:54:20,3.72,29.0,1.8,4.9,19,1,0,evening,46.0,,WC
2025-02-19 07:44:03,2.23,34.0,1.26,2.61,7,2,0,morning,45.0,,WC
2025-02-19 08:16:12,1.92,193.0,6.17,5.95,8,2,0,morning,515.0,,shower
2025-02-19 16:10:38,2.24,34.0,1.27,2.61,16,2,0,afternoon,356.0,,WC
2025-02-19 19:07:11,2.32,31.0,1.2,3.23,19,2,0,evening,600.0,,WC
2025-02-19 22:49:43,2.32,48.0,1.85,3.86,22,2,0,evening,122.0,,WC
2025-02-20 07:45:33,2.24,48.0,1.79,2.71,7,3,0,morning,1473.0,,WC
2025-02-20 07:50:45,1.9,154.0,4.89,5.53,7,3,0,morning,163.0,,shower
2025-02-20 08:38:23,3.11,149.0,7.71,6.57,8,3,0,morning,518.0,,shower
2025-02-20 16:26:14,2.23,34.0,1.26,2.71,16,3,0,afternoon,129.0,,WC
2025-02-21 07:46:50,2.24,34.0,1.27,2.71,7,4,0,morning,513.0,,WC
2025-02-21 19:28:02,2.26,397.0,14.93,5.63,19,4,0,evening,562.0,,shower
2025-02-22 07:52:03,2.32,33.0,1.28,2.71,7,5,1,morning,30652.0,,WC
2025-02-22 08:20:35,3.2,30.0,1.6,3.97,8,5,1,morning,275.0,,WC
2025-02-22 08:28:06,3.53,30.0,1.77,5.11,8,5,1,morning,451.0,,WC
2025-02-22 08:40:14,2.06,186.0,6.38,2.61,8,5,1,morning,410.0,,shower
2025-02-22 20:10:59,2.29,49.0,1.87,2.71,20,5,1,evening,276.0,,WC
2025-02-22 21:11:01,2.27,34.0,1.29,2.71,21,5,1,evening,241.0,,WC
2025-02-23 09:14:05,2.27,34.0,1.29,2.71,9,6,1,morning,3311.0,,WC
2025-02-23 12:23:29,1.86,187.0,5.8,5.74,12,6,1,afternoon,242.0,,shower
2025-02-23 13:30:43,2.33,229.0,8.89,5.22,13,6,1,afternoon,3384.0,,shower
2025-02-24 07:38:16,2.58,42.0,1.81,3.65,7,0,0,morning,162.0,,WC
2025-02-24 07:55:43,2.06,170.0,5.83,2.61,7,0,0,morning,220.0,,shower
2025-02-24 08:17:06,2.23,182.0,6.77,5.53,8,0,0,morning,199.0,,shower
2025-02-24 16:09:40,3.2,29.0,1.55,3.97,16,0,0,afternoon,114.0,,WC
2025-02-24 19:32:19,2.82,252.0,11.84,5.84,19,0,0,evening,377.0,,shower
2025-02-24 19:38:18,1.88,41.0,1.29,2.71,19,0,0,evening,359.0,,WC
2025-02-24 21:19:36,3.34,28.0,1.56,3.97,21,0,0,evening,247.0,,WC
2025-02-24 22:44:06,3.27,29.0,1.58,3.97,22,0,0,evening,96.0,,WC
2025-02-25 08:08:45,2.03,563.0,19.04,2.61,8,1,0,morning,572.0,,shower
2025-03-06 16:36:47,2.43,30.0,1.22,3.01,16,3,0,afternoon,130.0,,WC
2025-03-06 16:52:28,2.07,36.0,1.24,2.4,16,3,0,afternoon,467.0,,WC
2025-03-08 19:03:33,1.54,47.0,1.21,1.98,19,5,1,evening,196.0,,WC
2025-03-09 16:54:42,1.92,46.0,1.47,2.5,16,6,1,afternoon,205.0,,WC
2025-03-10 15:50:28,1.55,49.0,1.27,1.98,15,0,0,afternoon,77.0,,WC
2025-03-10 16:22:58,2.21,35.0,1.29,2.71,16,0,0,afternoon,1147.0,,WC
2025-03-10 20:15:12,2.95,491.0,24.17,3.76,20,0,0,evening,1025.0,,shower
2025-03-11 20:13:33,2.45,30.0,1.23,3.13,20,1,0,evening,2439.0,,WC
2025-03-11 23:00:44,1.94,47.0,1.52,2.3,23,1,0,evening,107.0,,WC
2025-03-12 08:32:34,2.0,38.0,1.27,2.5,8,2,0,morning,1082.0,,WC
2025-03-12 08:39:23,2.03,268.0,9.07,3.13,8,2,0,morning,280.0,,shower
2025-03-13 19:50:40,2.43,30.0,1.22,3.13,19,3,0,evening,3801.0,,WC
2025-03-13 20:03:14,2.14,38.0,1.36,2.92,20,3,0,evening,73.0,,WC
2025-03-13 22:02:16,1.9,227.0,7.19,2.3,22,3,0,evening,6075.0,,shower
2025-03-14 08:09:38,1.96,202.0,6.61,2.82,8,4,0,morning,368.0,,shower
2025-03-14 08:41:44,1.93,205.0,6.59,3.44,8,4,0,morning,494.0,,shower
2025-03-15 10:39:19,1.8,290.0,8.7,3.55,10,5,1,morning,476.0,,shower
2025-03-15 14:21:04,1.85,153.0,4.71,2.5,14,5,1,afternoon,2429.0,,shower
2025-03-15 15:46:13,1.53,47.0,1.2,1.98,15,5,1,afternoon,88.0,,WC
2025-03-15 15:47:39,1.5,48.0,1.2,1.88,15,5,1,afternoon,86.0,,WC
2025-03-17 07:45:00,1.95,49.0,1.59,2.19,7,0,0,morning,268.0,,WC
2025-03-17 12:26:48,2.19,36.0,1.31,2.71,12,0,0,afternoon,49.0,,WC
2025-03-18 07:26:24,1.91,38.0,1.21,2.3,7,1,0,morning,126.0,,WC
2025-03-18 20:37:12,2.98,25.0,1.24,3.44,20,1,0,evening,1938.0,,WC
2025-03-19 14:09:49,2.49,31.0,1.29,3.03,14,2,0,afternoon,69.0,,WC
2025-03-26 15:23:49,1.61,48.0,1.29,1.77,15,2,0,afternoon,95.0,,WC
2025-03-26 17:02:49,1.69,43.0,1.21,2.09,17,2,0,afternoon,66.0,,WC
2025-03-27 07:52:37,2.01,39.0,1.3,2.5,7,3,0,morning,124.0,,WC
2025-03-28 17:34:21,1.55,49.0,1.27,2.09,17,4,0,afternoon,68.0,,WC
2025-03-28 18:32:32,1.94,50.0,1.62,2.71,18,4,0,evening,325.0,,WC
2025-03-28 20:21:02,1.75,47.0,1.37,2.3,20,4,0,evening,2745.0,,WC
2025-03-28 22:53:04,1.98,50.0,1.65,2.19,22,4,0,evening,2945.0,,WC
2025-03-29 08:50:42,1.91,45.0,1.43,2.19,8,5,1,morning,217.0,,WC
2025-03-29 14:59:14,1.84,445.0,13.68,2.3,14,5,1,afternoon,1698.0,,shower
2025-03-30 10:13:41,1.93,41.0,1.32,2.49,10,6,1,morning,593.0,,WC
